yyyy,mm,tmin
1959,1,-5.7
1959,2,-3.2
1959,3,0.8
1959,4,0
1959,5,4.6
1959,6,7.2
1959,7,8.5
1959,8,10.1
1959,9,5.4
1959,10,4.8
1959,11,1.3
1959,12,-0.6
1960,1,-2.4
1960,2,-5.6
1960,3,0
1960,4,2.4
1960,5,3.8
1960,6,8
1960,7,7.7
1960,8,7.2
1960,9,5.2
1960,10,5.2
1960,11,-0.2
1960,12,-3.3
1961,1,-2.7
1961,2,0.4
1961,3,2.6
1961,4,2.5
1961,5,3.4
1961,6,6.4
1961,7,7.7
1961,8,7.6
1961,9,7.2
1961,10,4.2
1961,11,-1.6
1961,12,-4.7
1962,1,-1.8
1962,2,-1.2
1962,3,-4.1
1962,4,-0.5
1962,5,2.5
1962,6,6.9
1962,7,6.5
1962,8,7.1
1962,9,6.2
1962,10,5.3
1962,11,-0.1
1962,12,-1.9
1963,1,-8.6
1963,2,-8.6
1963,3,-1.7
1963,4,0
1963,5,2.5
1963,6,7
1963,7,7.7
1963,8,7.5
1963,9,6.1
1963,10,4.4
1963,11,0.6
1963,12,-1.1
1964,1,-1.1
1964,2,-1.2
1964,3,-0.6
1964,4,2.6
1964,5,4.8
1964,6,6.1
1964,7,8.6
1964,8,7
1964,9,5.5
1964,10,1.7
1964,11,0.4
1964,12,-2.7
1965,1,-3.1
1965,2,-2.2
1965,3,-2.9
1965,4,-0.1
1965,5,4.2
1965,6,7.2
1965,7,6.7
1965,8,7.4
1965,9,0
1965,10,3.2
1965,11,-2.3
1965,12,-3.2
1966,1,-2.8
1966,2,-3.4
1966,3,1.2
1966,4,-1.1
1966,5,2.9
1966,6,8.6
1966,7,7.5
1966,8,6.1
1966,9,8.3
1966,10,2.2
1966,11,-1.3
1966,12,-1.5
1967,1,0.1
1967,2,0.5
1967,3,0.4
1967,4,0.9
1967,5,3.1
1967,6,6.8
1967,7,8.5
1967,8,8
1967,9,6.1
1967,10,3.5
1967,11,-0.5
1967,12,-0.1
1968,1,-2.5
1968,2,-6.6
1968,3,0
1968,4,0.4
1968,5,1.8
1968,6,6.2
1968,7,8.7
1968,8,8.1
1968,9,6.4
1968,10,4.4
1968,11,0
1968,12,-1.2
1969,1,-1.1
1969,2,-6
1969,3,-3.8
1969,4,-0.3
1969,5,3.3
1969,6,6.2
1969,7,9.2
1969,8,9.3
1969,9,6.7
1969,10,6.5
1969,11,-3.3
1969,12,-1.6
1970,1,-2.3
1970,2,-5
1970,3,-2.3
1970,4,-0.8
1970,5,5.2
1970,6,6.4
1970,7,7.5
1970,8,8.6
1970,9,6.5
1970,10,3.5
1970,11,0.5
1970,12,-0.5
1971,1,-0.7
1971,2,-1.5
1971,3,-0.9
1971,4,0.4
1971,5,3.2
1971,6,5.3
1971,7,8.3
1971,8,8.2
1971,9,6.7
1971,10,3.6
1971,11,0.3
1971,12,2.7
1972,1,-1.2
1972,2,-1.8
1972,3,-1.2
1972,4,1.5
1972,5,3.8
1972,6,5
1972,7,7.5
1972,8,7.3
1972,9,3.7
1972,10,3.3
1972,11,-0.7
1972,12,-1.1
1973,1,-1.1
1973,2,-3.3
1973,3,-1
1973,4,0.5
1973,5,3.4
1973,6,7.1
1973,7,8.8
1973,8,8.1
1973,9,6.5
1973,10,2.3
1973,11,-0.1
1973,12,-1.4
1974,1,1
1974,2,-0.5
1974,3,-1
1974,4,-0.8
1974,5,3.9
1974,6,5.5
1974,7,7.7
1974,8,7.4
1974,9,5.2
1974,10,3
1974,11,0.7
1974,12,2.1
1975,1,-1
1975,2,-2.2
1975,3,-1.8
1975,4,1.6
1975,5,2.8
1975,6,6.2
1975,7,9.5
1975,8,9.6
1975,9,5.8
1975,10,4.3
1975,11,0.5
1975,12,1.6
1976,1,-0.7
1976,2,-0.8
1976,3,-0.4
1976,4,1.9
1976,5,4.6
1976,6,8.7
1976,7,9.2
1976,8,6.3
1976,9,7.2
1976,10,3.5
1976,11,-0.3
1976,12,-3.5
1977,1,-3.8
1977,2,-3.1
1977,3,1
1977,4,0.7
1977,5,2.6
1977,6,4.8
1977,7,8
1977,8,6.7
1977,9,6.1
1977,10,5.3
1977,11,-0.5
1977,12,-0.3
1978,1,-4.3
1978,2,-8.4
1978,3,0.4
1978,4,0.2
1978,5,3.7
1978,6,6.4
1978,7,7.9
1978,8,9.4
1978,9,7.9
1978,10,6.5
1978,11,2.5
1978,12,-0.3
1979,1,-7.4
1979,2,-5.3
1979,3,-2
1979,4,1.6
1979,5,2.6
1979,6,7.6
1979,7,8.4
1979,8,7.6
1979,9,6.1
1979,10,5.7
1979,11,-0.2
1979,12,-0.6
1980,1,-2.9
1980,2,-1.4
1980,3,-2.3
1980,4,1.8
1980,5,2.8
1980,6,7.5
1980,7,7.9
1980,8,9.2
1980,9,7.6
1980,10,1.8
1980,11,0.1
1980,12,0.5
1981,1,-1.9
1981,2,-1.3
1981,3,-0.2
1981,4,-1.4
1981,5,4.3
1981,6,6.5
1981,7,8.6
1981,8,8.9
1981,9,6.8
1981,10,0.4
1981,11,1.3
1981,12,-7.2
1982,1,-5.5
1982,2,-0.9
1982,3,-0.4
1982,4,1.7
1982,5,1.6
1982,6,6.9
1982,7,8.7
1982,8,8.7
1982,9,6.4
1982,10,4.1
1982,11,1.1
1982,12,-2.2
1983,1,0.9
1983,2,-4.8
1983,3,1.1
1983,4,-0.6
1983,5,3.6
1983,6,6.2
1983,7,10.3
1983,8,9.8
1983,9,6.4
1983,10,4.2
1983,11,1.5
1983,12,0.5
1984,1,-4.9
1984,2,-1
1984,3,-0.8
1984,4,0.4
1984,5,1.7
1984,6,7.7
1984,7,8.8
1984,8,8.2
1984,9,6.1
1984,10,3.5
1984,11,2.2
1984,12,-0.1
1985,1,-4.9
1985,2,-3.7
1985,3,-1.7
1985,4,1.3
1985,5,3
1985,6,4.4
1985,7,9
1985,8,7.9
1985,9,6.5
1985,10,3.6
1985,11,-2.7
1985,12,-0.7
1986,1,-2.6
1986,2,-6.7
1986,3,-1.7
1986,4,-0.6
1986,5,4.4
1986,6,6.4
1986,7,8.3
1986,8,6.2
1986,9,5.2
1986,10,4.9
1986,11,1.2
1986,12,-0.3
1987,1,-4.6
1987,2,-2.6
1987,3,-2.9
1987,4,1.6
1987,5,3
1987,6,5
1987,7,9.5
1987,8,8.6
1987,9,5.4
1987,10,2.2
1987,11,1.3
1987,12,-0.6
1988,1,-1.1
1988,2,-0.4
1988,3,-0.6
1988,4,0.8
1988,5,3.6
1988,6,7.7
1988,7,9
1988,8,8.6
1988,9,7.1
1988,10,3.4
1988,11,0.6
1988,12,2.7
1989,1,2.6
1989,2,-0.4
1989,3,0.2
1989,4,0.2
1989,5,4.5
1989,6,6
1989,7,9.5
1989,8,8.8
1989,9,6.2
1989,10,4.7
1989,11,1
1989,12,-3.7
1990,1,0.8
1990,2,0.6
1990,3,2.6
1990,4,1.2
1990,5,4.3
1990,6,6.9
1990,7,8.5
1990,8,9.6
1990,9,6.2
1990,10,5.3
1990,11,0.7
1990,12,-1.2
1991,1,-2.3
1991,2,-2.9
1991,3,0
1991,4,1.3
1991,5,5
1991,6,5.6
1991,7,10.5
1991,8,9.5
