Time,Kilowatts
0,4981.5001927
1,5166.60016445
2,3046.35014537
3,3101.10013769
4,4908.60016439
5,4858.50017742
6,4905.00019836
7,4999.95019526
8,3075.90013122
9,3023.5501442
10,5004.6001587
11,5199.30019957
12,5226.75017163
13,5162.55022428
14,4991.55017468
15,2950.20010378
16,4883.85017776
17,5055.15017129
18,5084.10021592
19,4914.00019451
20,3581.55014991
21,2981.55008892
22,2967.00011064
23,3515.70014566
24,4721.10016438
25,4931.85019494
26,5020.05018234
27,4799.40017322
28,3043.20012856
29,2929.05012318
30,3423.45014192
31,4949.55017475
32,5155.05015188
33,5238.75021174
34,5129.10016059
35,3088.95013995
36,3017.40010454
37,5041.95018196
38,5170.80017096
39,5250.90023994
40,5239.35021975
41,5163.60019308
42,3169.65013694
43,3034.65012932
44,5056.05021094
45,5052.6001988
46,5048.2501869
47,4971.75019264
48,3013.20013239
49,2919.45011703
50,4830.0002022
51,5007.90018087
52,5028.00018885
53,5088.60017207
54,5092.35015869
55,3069.90011787
56,2909.85011099
57,4923.60022544
58,5136.75021744
59,5233.65021135
60,5260.35019306
61,4951.65018459
62,3077.25013161
63,2958.15011977
64,3534.75013923
65,5147.55017665
66,5278.80020143
67,5258.85017209
68,5074.05018618
69,3062.25013165
70,3018.00013154
71,5198.55020907
72,5226.60020638
73,5265.30022429
74,5272.65018464
75,3056.7001438
76,2950.35011292
77,4976.55018233
78,5206.95019914
79,5236.2002354
80,5222.40017705
81,4948.65018845
82,2859.00009922
83,2773.35009383
84,5108.25018689
85,5197.9502201
86,5122.35023305
87,4960.20016102
88,3006.75010104
89,2834.55009647
90,4906.05018808
91,5182.95019917
92,5264.85022166
93,5288.25024411
94,5200.50018311
95,3005.55009458
96,2841.45009991
97,5094.900156
98,5208.45018199
99,5331.45016864
100,5364.00023461
101,5413.6502113
102,3227.25013736
103,3084.30012516
104,5109.750227
105,5279.85023112
106,5289.30023385
107,5372.25022886
108,5063.40021322
109,3088.5001259
110,2940.60009762
111,5083.65022281
112,5410.05018996
113,5276.25016979
114,5283.600235
115,5107.50019456
116,3206.70010757
117,2955.60010337
118,3477.45014188
119,5001.150198
120,5051.10019495
121,5231.250206
122,5151.6002426
123,3157.80012134
124,2852.55010035
125,4858.80017088
126,5011.9502087
127,5044.50017739
128,5127.45017056
129,5013.15016367
130,3002.55010796
131,2716.95008844
132,4808.70021632
133,5095.80020716
134,5049.00019453
135,4985.25017935
136,4937.70018958
137,2971.65009496
138,2797.350087022
139,4689.45016668
140,5024.70019148
141,5191.50019455
142,5209.95020488
143,5060.25016024
144,3077.4001026
145,2852.25009152
146,4860.30013847
147,4961.2501755
148,4950.4501991
149,4990.80018425
150,4847.85019685
151,2948.10008805
152,2784.15011022
153,4780.35016443
154,4979.85020642
155,4981.80018038
156,5043.15017893
157,4905.00013353
158,2986.35009953
159,2897.25009531
160,4790.25014689
161,4923.75018691
162,5030.55017466
163,5017.50017935
164,4968.90018462
165,3042.15009688
166,2810.25009727
167,4757.1001968
168,4881.30020338
169,4915.20018011
170,4858.20015716
171,4769.40015797
172,2915.70009613
173,2834.40008925
174,4652.85015297
175,4747.65017892
176,4720.20016479
177,4953.60017969
178,5020.20020673
179,2819.55008883
180,2662.20010373
181,5137.05017472
182,5151.15021517
183,5226.30019949
184,5172.90018851
185,5015.25019261
186,2663.250088665
187,2607.00009536
188,4730.70017624
189,5031.30018038
190,4965.00018125
191,5005.20020868
192,4977.45015907
193,2901.75011445
194,2753.40010073
195,4876.95019528
196,4988.85018921
197,4966.80015756
198,4866.75017932
199,4754.70018196
200,2722.20009227
201,2591.10008043
202,4788.00017168
203,4819.20019341
204,4830.45015526
205,4805.700161
206,4682.5501614
207,2635.80009652
208,3159.90012548
209,4654.20016864
210,4895.25019458
211,4886.10018918
212,4780.65014653
213,2850.90010258
214,2608.20008082
215,4502.25017171
216,4773.90019987
217,4735.80018617
218,4475.60003662
219,4308
220,2623
221,2583.5
222,4299
223,4390
224,4341.5
225,4365
226,4363
227,2577
228,2519
229,4307.5
230,4517
231,4498.5
232,4530
233,4479.5
234,2671.5
235,2566.5
236,4447.5
237,4636
238,4616.5
239,4700.5
240,4746
241,2712
242,2505
243,4716
244,4904
245,4909
246,4816.5
247,4769
248,2997.5
249,2816.5
250,4714.5
251,4839
252,4886.5
253,4997
254,4798
255,3006
256,2899.5
257,4694.5
258,4783
259,4676.5
260,4499
261,4269.5
262,2892.5
263,2473.5
264,2658.5
265,2631.5
266,2589
267,2499.5
268,2456.5
269,2433
270,2754
271,4212.5
272,4544.5
273,4460.5
274,4412
275,2563
276,2422
277,4439.5
278,4538.5
279,4522
280,4544
281,4611
282,2762.5
283,2547
284,4650.5
285,4698.5
286,4649
287,4705
288,4584.5
289,2926.5
290,2598
291,4631.5
292,4651.5
293,4628
294,4742
295,4578
296,2826
297,2525.5
298,4540.5
299,4836.5
300,4744
301,4765.5
302,4719.5
303,2827.5
304,2687
305,4592
306,4658.5
307,4730.5
308,4603.5
309,4477.5
310,2842.5
311,2552
312,4584
313,4636
314,4534.5
315,4564.5
316,4407.5
317,2658
318,2557.5
319,4484
320,4510.5
321,4476.5
322,4440.5
323,4453
324,2671.5
325,2583
326,4424
327,4499
328,4516.5
329,4519.5
330,4527
331,2792
332,2616.5
333,4498
334,4534
335,4550.5
336,4543
337,4370
338,2662.5
339,2572.5
340,4369
341,4480
342,4518
343,4289
344,4246
345,2281.5
346,2688
347,4075
348,4216
349,4250.5
350,4115.5
351,2517.5
352,2394
353,4123.5
354,4332
355,4232.5
356,4217
357,4106
358,2420
359,2315
360,4187.5
361,4400.5
362,4451.5
363,4279.5
364,2792.5
365,2428
366,2313
367,2742.5
368,4061
369,4195
370,4248.5
371,4182
372,2445
373,2392.5
374,4227
375,4344
376,4380.5
377,4419.5
378,4150
379,2433.5
380,2270
381,4239.5
382,4211.5
383,4299
384,4389
385,4231
386,2511
387,2371.5
388,4257
389,4368.5
390,4385
391,4368
392,4194.5
393,2475
394,2399
395,2834
396,4164
397,4329
398,4334.5
399,4215.5
400,2528
401,2380
402,4226.5
403,4425
404,4333.5
405,4326
406,4206
407,2731
408,2397.5
409,4240
410,4342
411,4378.5
412,4414
413,4202.5
414,2527
415,2421
416,4305.5
417,4358.5
418,4368
419,4375
420,4212.5
421,2414
422,2274
423,2740.5
424,4115
425,4171
426,4262.5
427,4115.5
428,2381
429,2279
430,4121.5
431,4252
432,4370
433,4331.5
434,4312
435,2636
436,2487
437,4142
438,4322.5
439,4310.5
440,4475.5
441,4215
442,2378.5
443,2303
444,4297
445,4434.5
446,4717
447,4555
448,4394.5
449,2556.5
450,2369.5
451,4372
452,4539
453,4438
454,4433.5
455,4336
456,2613.5
457,2448
458,4313
459,4417
460,4468
461,4368
462,4334.5
463,2486
464,2372
465,4322
466,4478
467,4432
468,4360
469,4249.5
470,2471.5
471,2389
472,4377.5
473,4477
474,4675
475,4747
476,4585.5
477,3063
478,2913.5
479,4500.5
480,4744.5
481,4719
482,4603
483,4590.5
484,2973
485,2853.5
486,3233.5
487,4514.5
488,4700
489,4620
490,4593
491,3140.5
492,2937
493,4641.5
494,4828.5
495,4797
496,4745
497,4752.5
498,3020
499,2979.5
500,4620
501,4795
502,4794.5
503,4906
504,4723.5
505,3114.5
506,2909
507,4717
508,4752.5
509,4767
510,4775.5
511,4680
512,3095
513,2935.5
514,4673.5
515,4747
516,4738.5
517,4735
518,4700.5
519,3035.5
520,2908.5
521,4718
522,4812
523,4790
524,4823
525,4685.5
526,3049
527,2886.5
528,4669
529,4848.5
530,4820
531,4759.5
532,4744.5
533,3072.5
534,2948.5
535,4765
536,4886.5
537,4925.5
538,4862.5
539,4719
540,2980
541,2841.5
542,4770
543,4856.5
544,4862.5
545,4869.5
546,4768
547,3175.5
548,2951.5
549,4756.5
550,4855
551,4877.5
552,4777.5
553,4636.5
554,3140
555,2950
556,4711
557,4894.5
558,4589
559,4354.5
560,4304
561,2745.5
562,2639
563,4335
564,4442.5
565,4417.5
566,4370.5
567,4240.5
568,2549.5
569,2486.5
570,4184.5
571,4369
572,4432
573,4437
574,2722.5
575,2451.5
576,4403
577,4491
578,4468
579,4481.5
580,4361.5
581,2432
582,4340.5
583,4498.5
584,4506
585,4459.5
586,4407
587,2562.5
588,2469
589,4304.5
590,4430.5
591,4449.5
592,4484
593,4335
594,2695
595,2451
596,4500
597,4581
598,4679
599,4696
600,4632.5
601,2873
602,2643
603,4475
604,4771
605,4965
606,4987.5
607,4809
608,3042.5
609,2769
610,4774.5
611,4660.5
612,4576
613,4589
614,4491.5
615,2774.5
616,2630.5
617,4564
618,4640
619,4540.5
620,4547.5
621,4399
622,2658.5
623,2572.5
624,3622.5
625,2584.5
626,2599.5
627,2650
628,2576
629,2460
630,2330.5
631,2560.5
632,2803
633,4152
634,4252
635,4177.5
636,2566.5
637,2512
638,4333.5
639,4477.5
640,4644.5
641,4646.5
642,4487.5
643,2741.5
644,2637
645,4518
646,4579.5
647,4589
648,4537
649,4526
650,2771
651,2510
652,4639
653,4731
654,4709.5
655,4638.5
656,4454
657,2869.5
658,2503.5
659,4448.5
660,4329.5
661,4482
662,4518
663,4483
664,2840.5
665,2502
666,4515
667,4711.5
668,4658.5
669,4759.5
670,4450
671,2524.5
672,2383.5
673,4481.5
674,4543
675,4390
676,4385
677,4289.5
678,2564
679,2383
