year,month,rain
1959,11,193
1959,12,295.4
1960,1,127.9
1960,2,106.1
1960,3,53.9
1960,4,126.8
1960,5,57.3
1960,6,121.7
1960,7,143.2
1960,8,114.7
1960,9,116.7
1960,10,72.1
1960,11,225.3
1960,12,212.1
1961,1,195.7
1961,2,134.7
1961,3,51.1
1961,4,96.2
1961,5,64.1
1961,6,91.4
1961,7,177.8
1961,8,160.5
1961,9,171.3
1961,10,207.4
1961,11,138.3
1961,12,142.8
1962,1,212.8
1962,2,125.8
1962,3,128.7
1962,4,120.4
1962,5,72.9
1962,6,88.9
1962,7,77.4
1962,8,163.6
1962,9,172.2
1962,10,94.7
1962,11,154.6
1962,12,183.1
1963,1,26
1963,2,47
1963,3,156.4
1963,4,99.1
1963,5,123.9
1963,6,95.5
1963,7,100.8
1963,8,119.5
1963,9,134.7
1963,10,156.7
1963,11,227.3
1963,12,53.1
1964,1,88.5
1964,2,39.4
1964,3,90.5
1964,4,81.4
1964,5,117.3
1964,6,87.1
1964,7,106.5
1964,8,138.3
1964,9,207.6
1964,10,185.8
1964,11,155.5
1964,12,206.6
1965,1,255.5
1965,2,21.5
1965,3,119.9
1965,4,159.4
1965,5,91.6
1965,6,152.8
1965,7,73.8
1965,8,119.6
1965,9,155.2
1965,10,165.1
1965,11,182.6
1965,12,225.9
1966,1,106.8
1966,2,145.5
1966,3,136.2
1966,4,117
1966,5,158.6
1966,6,124.4
1966,7,81.2
1966,8,73.3
1966,9,105.5
1966,10,108.5
1966,11,152.3
1966,12,342.2
1967,1,108.5
1967,2,121.3
1967,3,159.1
1967,4,87.7
1967,5,117
1967,6,60.8
1967,7,118.4
1967,8,101.5
1967,9,185.4
1967,10,259.2
1967,11,157.9
1967,12,140
1968,1,218.2
1968,2,50.2
1968,3,134.9
1968,4,64.2
1968,5,87.8
1968,6,65.5
1968,7,51.1
1968,8,160.6
1968,9,164.9
1968,10,183.6
1968,11,163.9
1968,12,149.4
1969,1,167.6
1969,2,98.6
1969,3,62.7
1969,4,84.7
1969,5,58.1
1969,6,110.4
1969,7,43.2
1969,8,79.3
1969,9,64.2
1969,10,105.7
1969,11,187.6
1969,12,178.3
1970,1,70.7
1970,2,267
1970,3,141.9
1970,4,150.2
1970,5,44.1
1970,6,57.3
1970,7,128.1
1970,8,116.1
1970,9,175.6
1970,10,225.6
1970,11,199.8
1970,12,82.1
1971,1,130.5
1971,2,134.3
1971,3,90
1971,4,33.8
1971,5,59.6
1971,6,114.7
1971,7,51.2
1971,8,77.1
1971,9,86.3
1971,10,112.1
1971,11,211.9
1971,12,73.2
1972,1,109.7
1972,2,98.4
1972,3,139.8
1972,4,140.8
1972,5,141.2
1972,6,92.4
1972,7,49.8
1972,8,69.3
1972,9,12.9
1972,10,59.7
1972,11,191.9
1972,12,169.5
1973,1,168.5
1973,2,149.9
1973,3,81.8
1973,4,77.7
1973,5,115.9
1973,6,67
1973,7,64.7
1973,8,162
1973,9,94.3
1973,10,107.7
1973,11,240.1
1973,12,148.4
1974,1,226
1974,2,145.9
1974,3,89.2
1974,4,19.1
1974,5,72.4
1974,6,66.5
1974,7,129.6
1974,8,141.2
1974,9,188.9
1974,10,111.1
1974,11,187.2
1974,12,202.2
1975,1,260.6
1975,2,30
1975,3,71.2
1975,4,109.8
1975,5,17.8
1975,6,47.6
1975,7,167.9
1975,8,90.2
1975,9,121.7
1975,10,146.5
1975,11,156
1975,12,80.9
1976,1,226.5
1976,2,72.4
1976,3,123.7
1976,4,60.7
1976,5,132.9
1976,6,64.1
1976,7,60.6
1976,8,5.8
1976,9,91.2
1976,10,138.7
1976,11,141.8
1976,12,148.3
1977,1,117.3
1977,2,126.4
1977,3,152.2
1977,4,148.4
1977,5,37.4
1977,6,95.2
1977,7,77.2
1977,8,99.1
1977,9,132.4
1977,10,200.8
1977,11,246.1
1977,12,139.7
1978,1,230.6
1978,2,94.9
1978,3,256.2
1978,4,37.2
1978,5,33.1
1978,6,79.2
1978,7,75
1978,8,111.3
1978,9,248.5
1978,10,71.4
1978,11,183.2
1978,12,178.4
1979,1,137.8
1979,2,59
1979,3,186.4
1979,4,113.8
1979,5,139.3
1979,6,49.9
1979,7,67.4
1979,8,184.8
1979,9,144.1
1979,10,144
1979,11,218.2
1979,12,209.1
1980,1,133.6
1980,2,115.8
1980,3,129.2
1980,4,17.5
1980,5,25.2
1980,6,169.9
1980,7,154.7
1980,8,102
1980,9,260.2
1980,10,185.9
1980,11,192.9
1980,12,294.9
1981,1,159.1
1981,2,106.1
1981,3,176.1
1981,4,49.3
1981,5,155.6
1981,6,86.7
1981,7,110.7
1981,8,100.9
1981,9,246.1
1981,10,210
1981,11,122.9
1981,12,123.3
1982,1,139.1
1982,2,119.3
1982,3,178.6
1982,4,30.7
1982,5,89.4
1982,6,120.2
1982,7,25
1982,8,135.4
1982,9,114.6
1982,10,156.5
1982,11,206.4
1982,12,298.4
1983,1,204.2
1983,2,90.1
1983,3,201.4
1983,4,93.1
1983,5,91.1
1983,6,43.3
1983,7,41.4
1983,8,44.8
1983,9,176
1983,10,260.3
1983,11,82.4
1983,12,173.5
1984,1,295.5
1984,2,135.2
1984,3,73.8
1984,4,70.5
1984,5,31.3
1984,6,77.6
1984,7,44.3
1984,8,76.3
1984,9,163
1984,10,248.2
1984,11,162.7
1984,12,178.3
1985,1,111.9
1985,2,56.4
1985,3,167.7
1985,4,101.1
1985,5,133.6
1985,6,82.5
1985,7,107.8
1985,8,259.8
1985,9,244.4
1985,10,80.3
1985,11,75.1
1985,12,163.5
1986,1,217.9
1986,2,5
1986,3,214
1986,4,140.5
1986,5,205.1
1986,6,102
1986,7,97.4
1986,8,160.2
1986,9,25
1986,10,218.4
1986,11,225
1986,12,272.2
1987,1,81
1987,2,98.3
1987,3,155.6
1987,4,55.6
1987,5,68.3
1987,6,83.7
1987,7,104.2
1987,8,140.6
1987,9,147.8
1987,10,181.5
1987,11,160.7
1987,12,105.8
1988,1,261.6
1988,2,144
1988,3,231.9
1988,4,54
1988,5,68.5
1988,6,53.1
1988,7,160.8
1988,8,183.2
1988,9,174.6
1988,10,177.6
1988,11,90.3
1988,12,115
1989,1,136.9
1989,2,177
1989,3,171.5
1989,4,77.3
1989,5,44.8
1989,6,102.4
1989,7,37.7
1989,8,193
1989,9,75.4
1989,10,309
1989,11,112.6
1989,12,135.4
1990,1,233.4
1990,2,265.6
1990,3,111
1990,4,128.6
1990,5,20.9
1990,6,116.3
1990,7,80.9
1990,8,96.2
1990,9,77.7
1990,10,272.3
1990,11,152.9
1990,12,250.1
1991,1,150.7
1991,2,100.6
1991,3,124.7
1991,4,212.9
1991,5,27.7
1991,6,116.1
1991,7,118.9
1991,8,90.2
1991,9,96.6
1991,10,142.2
1991,11,203.8
1991,12,165.9
1992,1,106.9
1992,2,139.8
1992,3,198.3
1992,4,141.6
1992,5,98.9
1992,6,51.3
1992,7,131.5
1992,8,208
1992,9,140.7
1992,10,165.4
1992,11,247.4
1992,12,141.3
1993,1,220.2
1993,2,64.4
1993,3,89.7
1993,4,126.7
1993,5,155.1
1993,6,109.6
1993,7,120.9
1993,8,85.1
1993,9,100.9
1993,10,53.7
1993,11,83
1993,12,337.5
1994,1,245.5
1994,2,113.3
1994,3,267.5
1994,4,164.6
1994,5,88.3
1994,6,119.6
1994,7,87.4
1994,8,93.3
1994,9,78.1
1994,10,90.3
1994,11,136.6
1994,12,250
1995,1,220.9
1995,2,163.8
1995,3,182.2
1995,4,63.6
1995,5,84.2
1995,6,34.6
1995,7,130.4
1995,8,10.7
1995,9,102.7
1995,10,178.2
1995,11,136.7
1995,12,64.9
1996,1,70
1996,2,187
1996,3,76.5
1996,4,89.1
1996,5,91.6
1996,6,56.2
1996,7,98.8
1996,8,108.8
1996,9,71.9
1996,10,210.1
1996,11,185.7
1996,12,93.4
1997,1,28
1997,2,200.8
1997,3,89
1997,4,42.7
1997,5,99.9
1997,6,80
1997,7,124.3
1997,8,106.7
1997,9,123.8
1997,10,96.9
1997,11,130.8
1997,12,229.3
1998,1,165.6
1998,2,132.9
1998,3,122
1998,4,97
1998,5,66.5
1998,6,151.2
1998,7,145.2
